"Matcher","Precision","Recall","F-measure"
"LogMap-2011","0.84","0.5","0.63"
"LogMap-2012","0.77","0.53","0.63"
"LogMapLite-2012","0.68","0.45","0.54"
"LogMap-2013","0.76","0.54","0.63"
"LogMapLite-2013"," 0.68","0.45","0.54"
"AML-2013","0.82","0.51","0.63"
"LogMap-2014","0.76","0.54","0.63"
"LogMapC-2014","0.78","0.52","0.62"
"LogMapLite-2014","0.68","0.45","0.54"
"AML-2014","0.8","0.58","0.67"
"LogMap-2015","0.82","0.65","0.73"
"LogMapC-2015","0.84","0.62","0.71"
"LogMapLite-2015","0.84","0.54","0.66"
"AML-2015","0.83","0.7","0.76"
"OAEI-RA-2016","1","1","1"